scenarios,rating,goal,gpt-4_1-annotated_results,claude-3_7-annotated_results,golden_label
"Scenario:
Imagine that Bob just gave a presentation, but he didn't know how good it was. Bob approached John, who knows a lot about giving presentations, and asked ""How was my presentation?""
Rating:
Here's how John actually felt about Bob's presentation:
0 out of 3 hearts
Question:
If John wanted to give as accurate and informative feedback as possible, but not necessarily make Bob feel good,
What would John be most likely to say?
'Response: 'There's room for improvement.",0,informative,"Politeness marker: room for improvement
Politeness strategy:
1. Off-record (Understate)","Politeness marker: There's room for improvement
Politeness strategy:
1. Off-Record (Indirect) - Understate
2. Negative Politeness - Impersonalize speaker and hearer","Politeness marker: There's room for improvement
Politeness strategy:
1. Off-Record (Indirect) - Understate
2. Negative Politeness - Impersonalize speaker and hearer"
"Scenario:
Imagine that Bob just gave a presentation, but he didn't know how good it was. Bob approached John, who knows a lot about giving presentations, and asked ""How was my presentation?""
Rating:
Here's how John actually felt about Bob's presentation:
0 out of 3 hearts
Question:
If John wanted to give as accurate and informative feedback as possible, but not necessarily make Bob feel good,
What would John be most likely to say?
'Response: 'It wasn't great. There was a lot that you could have improved upon.",0,informative,"Politeness marker: you could have improved upon
Politeness strategy:
1. Negative Politeness - Counterfactual modal forms (could)","Politeness marker: It wasn't great
Politeness strategy:
1. Off-Record + Understate

Politeness marker: There was a lot that you could have improved upon
Politeness strategy:
1. Negative Politeness + Impersonalize speaker and hearer
2. Negative Politeness + Hedge","Politeness marker: There was a lot that you could have improved upon
Politeness strategy:
1. Negative Politeness - Impersonalize speaker and hearer 3. Negative Politeness - Counterfactual modal forms"
"Scenario:
Imagine that Bob just gave a presentation, but he didn't know how good it was. Bob approached John, who knows a lot about giving presentations, and asked ""How was my presentation?""
Rating:
Here's how John actually felt about Bob's presentation:
0 out of 3 hearts
Question:
If John wanted to make Bob feel good, but not necessarily give informative feedback,
What would John be most likely to say?
'Response: 'You did a great job up there!",0,social,"Politeness marker: a great job
Politeness strategy:
1. Positive Politeness - Positive Lexicon (positive sentiment, optimism)
2. Positive Politeness - Exaggerate interest, approval, sympathy","Politeness marker: You did a great job
Politeness strategy:
1. Positive Politeness - Positive Lexicon (positive sentiment, optimism)
2. Positive Politeness - Exaggerate interest, approval, sympathy

Politeness marker: up there
Politeness strategy:
1. Positive Politeness - Intensify interest in hearer","Politeness marker: You did a great job
Politeness strategy:
1. Positive Politeness - Positive Lexicon (positive sentiment, optimism) 2. Positive Politeness - Exaggerate interest, approval, sympathy

Politeness marker: up there
Politeness strategy:
1. Positive Politeness - Intensify interest in hearer"
"Scenario:
Imagine that Bob just gave a presentation, but he didn't know how good it was. Bob approached John, who knows a lot about giving presentations, and asked ""How was my presentation?""
Rating:
Here's how John actually felt about Bob's presentation:
0 out of 3 hearts
Question:
If John wanted to make Bob feel good, but not necessarily give informative feedback,
What would John be most likely to say?
'Response: 'Your presentation was interesting and had some good points!",0,social,"Politeness marker: interesting
Politeness strategy:
1. Positive Politeness - Positive Lexicon (positive sentiment, optimism)

Politeness marker: had some good points
Politeness strategy:
1. Positive Politeness - Avoid disagreement
2. Positive Politeness - Positive Lexicon (positive sentiment, optimism)","Politeness marker: interesting
Politeness strategy:
1. Positive Politeness - Positive Lexicon (positive sentiment, optimism)
2. Off-Record - Understate (not exactly thrilling)

Politeness marker: had some good points
Politeness strategy:
1. Positive Politeness - Avoid disagreement (that might work)
2. Off-Record - Understate (somewhat unclear)

Politeness marker: !
Politeness strategy:
1. Positive Politeness - Exaggerate interest, approval, sympathy (absolutely fantastic)","Politeness marker: interesting (not exactly thrilling)
Politeness strategy:
1. Positive Politeness - Positive Lexicon (positive sentiment, optimism) 2. Off-Record - Understate

Politeness marker: had some good points
Politeness strategy:
1. Positive Politeness - Avoid disagreement"
"Scenario:
Imagine that Bob just gave a presentation, but he didn't know how good it was. Bob approached John, who knows a lot about giving presentations, and asked ""How was my presentation?""
Rating:
Here's how John actually felt about Bob's presentation:
0 out of 3 hearts
Question:
If John wanted to make Bob feel good, but not necessarily give informative feedback,
What would John be most likely to say?
'Response: ' I thought your presentation was very good.",0,social,"Politeness marker: very good
Politeness strategy:
1. Positive Politeness - Positive Lexicon (positive sentiment, optimism)
2. Positive Politeness - Exaggerate interest, approval, sympathy","Politeness marker: very good
Politeness strategy:
1. Positive Politeness - Positive Lexicon (positive sentiment, optimism)
2. Positive Politeness - Exaggerate interest, approval, sympathy

Politeness marker: I thought
Politeness strategy:
1. Negative Politeness - Question, hedge","Politeness marker: very good
Politeness strategy:
1. Positive Politeness - Positive Lexicon (positive sentiment, optimism)
2. Positive Politeness - Exaggerate interest, approval, sympathy

Politeness marker: I thought
Politeness strategy:
1. Negative Politeness - Question, hedge"
"Scenario:
Imagine that Bob just gave a presentation, but he didn't know how good it was. Bob approached John, who knows a lot about giving presentations, and asked ""How was my presentation?""
Rating:
Here's how John actually felt about Bob's presentation:
0 out of 3 hearts
Question:
If John wanted to make Bob feel good, but not necessarily give informative feedback,
What would John be most likely to say?
'Response: 'It was not good.",0,social,Politeness marker: [none found],"Politeness marker: It was not good.
Politeness strategy:
1. Bald-on-record + Factuality (direct assertions, less polite)","Politeness marker: It was not good.
Politeness strategy:
1. Bald-on-record + Factuality (direct assertions, less polite)"
"Scenario:
Imagine that Bob just gave a presentation, but he didn't know how good it was. Bob approached John, who knows a lot about giving presentations, and asked ""How was my presentation?""
Rating:
Here's how John actually felt about Bob's presentation:
0 out of 3 hearts
Question:
If John wanted to make Bob feel good, but not necessarily give informative feedback,
What would John be most likely to say?
'Response: 'I thought your presentation was really good, I'd love to hear more in the future.",0,social,"Politeness marker: really good
Politeness strategy:
1. Positive Politeness - Positive Lexicon (positive sentiment, optimism)

Politeness marker: I'd love to hear more in the future
Politeness strategy:
1. Positive Politeness - Exaggerate interest, approval, sympathy","Politeness marker: really good
Politeness strategy:
1. Positive Politeness - Positive Lexicon (positive sentiment, optimism)
2. Positive Politeness - Exaggerate interest, approval, sympathy

Politeness marker: I thought
Politeness strategy:
1. Negative Politeness - Question, hedge

Politeness marker: I'd love to hear more in the future
Politeness strategy:
1. Positive Politeness - Intensify interest in hearer
2. Positive Politeness - Be optimistic","Politeness marker: really good
Politeness strategy:
1. Positive Politeness - Positive Lexicon (positive sentiment, optimism)
2. Positive Politeness - Exaggerate interest, approval, sympathy

Politeness marker: I thought
Politeness strategy:
1. Negative Politeness - Question, hedge

Politeness marker: I'd love to hear more in the future
Politeness strategy:
1. Positive Politeness - Intensify interest in hearer
2. Positive Politeness - Be optimistic"
"Scenario:
Imagine that Bob just gave a presentation, but he didn't know how good it was. Bob approached John, who knows a lot about giving presentations, and asked ""How was my presentation?""
Rating:
Here's how John actually felt about Bob's presentation:
0 out of 3 hearts
Question:
If John wanted to make Bob feel good, but not necessarily give informative feedback,
What would John be most likely to say?
'Response: 'I think you were able to convey your message to those who were listening.",0,social,"Politeness marker: I think
Politeness strategy:
1. Negative Politeness - Question, hedge

Politeness marker: were able to convey your message
Politeness strategy:
1. Positive Politeness - Positive Lexicon (positive sentiment, optimism)","Politeness marker: I think
Politeness strategy:
1. Negative Politeness + Question, hedge

Politeness marker: you were able to convey your message
Politeness strategy:
1. Positive Politeness + Avoid disagreement
2. Positive Politeness + Be optimistic

Politeness marker: to those who were listening
Politeness strategy:
1. Off-Record + Be vague
2. Off-Record + Understate","Politeness marker: I think
Politeness strategy:
1. Negative Politeness + Question, hedge

Politeness marker: you were able to convey your message
Politeness strategy:
1. Positive Politeness + Avoid disagreement
2. Positive Politeness + Be optimistic"
"Scenario:
Imagine that Bob just gave a presentation, but he didn't know how good it was. Bob approached John, who knows a lot about giving presentations, and asked ""How was my presentation?""
Rating:
Here's how John actually felt about Bob's presentation:
0 out of 3 hearts
Question:
What would John be most likely to say?
'Response: 'I think there's a lot of room for improvement in your presentation skills.",0,default,"Politeness marker: I think
Politeness strategy:
1. Negative Politeness - Question, hedge

Politeness marker: a lot of room for improvement
Politeness strategy:
1. Off-Record - Understate","Politeness marker: I think
Politeness strategy:
1. Negative Politeness + Question, hedge

Politeness marker: there's a lot of room for improvement
Politeness strategy:
1. Off-Record + Understate
2. Negative Politeness + Minimize the imposition","Politeness marker: I think
Politeness strategy:
1. Negative Politeness + Question, hedge

Politeness marker: there's a lot of room for improvement
Politeness strategy:
1. Off-Record - Understate
2. Negative Politeness - Minimize the imposition 3. Negative Politeness - Impersonalize speaker and hearer"
"Scenario:
Imagine that Bob just gave a presentation, but he didn't know how good it was. Bob approached John, who knows a lot about giving presentations, and asked ""How was my presentation?""
Rating:
Here's how John actually felt about Bob's presentation:
0 out of 3 hearts
Question:
What would John be most likely to say?
'Response: 'Your presentation needs a lot of improvement.",0,default,"Politeness marker: needs a lot of improvement  
Politeness strategy:  
1. Off-record (Understate)","Politeness marker: needs a lot of improvement
Politeness strategy:
1. Negative Politeness - Impersonalize speaker and hearer","Politeness marker: needs a lot of improvement  
Politeness strategy:  
1. Off-record (Understate)"
"Scenario:
Imagine that Bob just gave a presentation, but he didn't know how good it was. Bob approached John, who knows a lot about giving presentations, and asked ""How was my presentation?""
Rating:
Here's how John actually felt about Bob's presentation:
0 out of 3 hearts
Question:
What would John be most likely to say?
'Response: ' I thought it could be improved in several areas!",0,default,"Politeness marker: I thought
Politeness strategy:
1. Negative Politeness - Question, hedge

Politeness marker: could be improved
Politeness strategy:
1. Off-Record - Understate

Politeness marker: in several areas
Politeness strategy:
1. Off-Record - Be vague","Politeness marker: I thought
Politeness strategy:
1. Negative Politeness + Question, hedge

Politeness marker: could be improved
Politeness strategy:
1. Negative Politeness + Counterfactual modal forms (could/would)
2. Negative Politeness + Impersonalize speaker and hearer

Politeness marker: in several areas
Politeness strategy:
1. Negative Politeness + Minimize the imposition","Politeness marker: I thought
Politeness strategy:
1. Negative Politeness + Question, hedge

Politeness marker: could be improved
Politeness strategy:
1. Negative Politeness + Counterfactual modal forms (could/would)
1. Off-Record - Understate

Politeness marker: in several areas
Politeness strategy:
1. Off-Record - Be vague"
"Scenario:
Imagine that Bob just gave a presentation, but he didn't know how good it was. Bob approached John, who knows a lot about giving presentations, and asked ""How was my presentation?""
Rating:
Here's how John actually felt about Bob's presentation:
0 out of 3 hearts
Question:
What would John be most likely to say?
'Response: 'It was terrible.",0,default,"Politeness marker: [None]

Politeness strategy:

(None detected; the response is bald-on-record with no politeness markers.)","Politeness marker: It was terrible.
Politeness strategy:
1. Bald-on-Record + Factuality (direct assertions, less polite)","Politeness marker: It was terrible.
Politeness strategy:
1. Bald-on-Record + Factuality (direct assertions, less polite)"
"Scenario:
Imagine that Bob just gave a presentation, but he didn't know how good it was. Bob approached John, who knows a lot about giving presentations, and asked ""How was my presentation?""
Rating:
Here's how John actually felt about Bob's presentation:
0 out of 3 hearts
Question:
What would John be most likely to say?
'Response: 'The presentation wasn't good for you.",0,default,"Politeness marker: for you  
Politeness strategy:  
1. Off-record (Indirect) + Be vague","Politeness marker: wasn't good for you
Politeness strategy:
1. Off-Record + Displace hearer (using ""for you"" to suggest the presentation wasn't good in a way that distances the criticism from the speaker's own judgment)","Politeness marker: wasn't good for you
Politeness strategy:
1. Off-Record + Displace hearer"
"Scenario:
Imagine that Bob just gave a presentation, but he didn't know how good it was. Bob approached John, who knows a lot about giving presentations, and asked ""How was my presentation?""
Rating:
Here's how John actually felt about Bob's presentation:
0 out of 3 hearts
Question:
What would John be most likely to say?
'Response: 'Good work john. I actually have a few suggestions for you for your next presentation.",0,default,"Politeness marker: Good work john.
Politeness strategy:
1. Positive Politeness - Positive Lexicon (Good work)

Politeness marker: I actually have a few suggestions for you for your next presentation.
Politeness strategy:
1. Negative Politeness - Hedge (suggestions for you)
2. Positive Politeness - Give or ask for reasons (for your next presentation)","Politeness marker: Good work john
Politeness strategy:
1. Positive Politeness - Positive Lexicon (positive sentiment, optimism)
2. Positive Politeness - Avoid disagreement

Politeness marker: I actually have a few suggestions
Politeness strategy:
1. Negative Politeness - Be conventionally indirect
2. Negative Politeness - Minimize the imposition (few)

Politeness marker: for your next presentation
Politeness strategy:
1. Positive Politeness - Be optimistic","Politeness marker: Good work john
Politeness strategy:
1. Positive Politeness - Positive Lexicon (positive sentiment, optimism)

Politeness marker: I actually have a few suggestions
Politeness strategy:
1. Negative Politeness - Be conventionally indirect
2. Negative Politeness - Minimize the imposition (few)"
"Scenario:
Imagine that Bob just gave a presentation, but he didn't know how good it was. Bob approached John, who knows a lot about giving presentations, and asked ""How was my presentation?""
Rating:
Here's how John actually felt about Bob's presentation:
1 out of 3 hearts
Question:
If John wanted to BOTH make Bob feel good AND give accurate and informative feedback,
What would John be most likely to say?
'Response: 'Your presentation had some good points, but there's room for improvement in your delivery and organization.",1,both,"Politeness marker: some good points
Politeness strategy:
1. Positive Politeness - Positive Lexicon (positive sentiment, optimism)
2. Positive Politeness - Avoid disagreement

Politeness marker: there's room for improvement
Politeness strategy:
1. Off-Record - Understate

Politeness marker: but
Politeness strategy:
1. Off-Record - Contradictions","Politeness marker: some good points
Politeness strategy:
1. Positive Politeness - Avoid disagreement

Politeness marker: there's room for improvement
Politeness strategy:
1. Negative Politeness - Impersonalize speaker and hearer
2. Off-Record - Understate

Politeness marker: your delivery and organization
Politeness strategy:
1. Negative Politeness - Nominalize","Politeness marker: some good points
Politeness strategy:
1. Positive Politeness - Positive Lexicon (positive sentiment, optimism)
2. Positive Politeness - Avoid disagreement

Politeness marker: there's room for improvement
Politeness strategy: 1. Negative Politeness - Impersonalize speaker and hearer
2. Off-Record - Understate

Politeness marker: but
Politeness strategy:
1. Off-Record - Contradictions"
"Scenario:
Imagine that Bob just gave a presentation, but he didn't know how good it was. Bob approached John, who knows a lot about giving presentations, and asked ""How was my presentation?""
Rating:
Here's how John actually felt about Bob's presentation:
1 out of 3 hearts
Question:
If John wanted to BOTH make Bob feel good AND give accurate and informative feedback,
What would John be most likely to say?
'Response: 'Your presentation had some good points, but there are areas where you could improve to make it even better.",1,both,"Politeness marker: some good points
Politeness strategy:
1. Positive Politeness - Positive Lexicon (positive sentiment, optimism)

Politeness marker: there are areas where you could improve
Politeness strategy:
1. Negative Politeness - Counterfactual modal forms (could)

Politeness marker: to make it even better
Politeness strategy:
1. Positive Politeness - Be optimistic","Politeness marker: some good points
Politeness strategy:
1. Positive Politeness - Avoid disagreement

Politeness marker: could improve
Politeness strategy:
1. Negative Politeness - Counterfactual modal forms (could/would)
2. Negative Politeness - Hedge

Politeness marker: to make it even better
Politeness strategy:
1. Positive Politeness - Be optimistic","Politeness marker: some good points
Politeness strategy:
1. Positive Politeness - Positive Lexicon (positive sentiment, optimism) 2. Positive Politeness - Avoid disagreement

Politeness marker: there are areas where you could improve
Politeness strategy:
1. Negative Politeness - Counterfactual modal forms (could) 2. Negative Politeness - Hedge

Politeness marker: to make it even better
Politeness strategy:
1. Positive Politeness - Be optimistic"
"Scenario:
Imagine that Bob just gave a presentation, but he didn't know how good it was. Bob approached John, who knows a lot about giving presentations, and asked ""How was my presentation?""
Rating:
Here's how John actually felt about Bob's presentation:
1 out of 3 hearts
Question:
If John wanted to BOTH make Bob feel good AND give accurate and informative feedback,
What would John be most likely to say?
'Response: ' I thought it was good, but I think you could improve your eye contact and body language.",1,both,"Politeness marker: I thought it was good
Politeness strategy:
1. Positive Politeness - Positive Lexicon (good)
2. Negative Politeness - Hedge (I thought)

Politeness marker: I think you could improve your eye contact and body language
Politeness strategy:
1. Negative Politeness - Hedge (I think)
2. Negative Politeness - Counterfactual modal forms (could)","Politeness marker: I thought it was good
Politeness strategy:
1. Positive Politeness - Avoid disagreement
2. Negative Politeness - Hedge

Politeness marker: I think
Politeness strategy:
1. Negative Politeness - Question, hedge

Politeness marker: you could improve
Politeness strategy:
1. Negative Politeness - Counterfactual modal forms (could/would)
2. Positive Politeness - Be optimistic","Politeness marker: I thought it was good
Politeness strategy:
1. Positive Politeness - Positive Lexicon (good)
2. Negative Politeness - Hedge (I thought)

Politeness marker: I think
Politeness strategy:
1. Negative Politeness - Question, hedge

Politeness marker: you could improve
Politeness strategy:
1. Negative Politeness - Counterfactual modal forms (could/would)
2. Positive Politeness - Be optimistic"
